feature1,feature2,target
2.861326892,4.081085732,1
2.572642243,3.97610927,1
3.563577343,3.979186898,1
2.453596577,3.740747965,1
3.378934511,4.276643809,1
2.873491076,3.900720218,1
3.740424705,3.688107912,1
3.15593782,4.232896141,1
2.970049831,3.259764571,1
2.706160819,4.669322908,1
2.68810297,4.091033703,1
3.2706237,3.807761105,1
3.055890975,2.821628404,1
2.87606294,3.320438914,1
2.882563073,3.403723477,1
3.045982972,4.223788682,1
2.930455771,4.051569391,1
2.378801627,4.046046963,1
2.308918519,3.790747079,1
3.217025976,3.791124059,1
3.644710018,4.298895242,1
3.592356161,4.130186097,1
3.237503549,4.282935337,1
2.58525967,4.208529476,1
2.557521001,3.340463115,1
2.495703721,3.718129549,1
3.232390582,3.94024465,1
3.047822775,4.133516732,1
2.885326857,3.696550367,1
3.530902016,4.468573129,1
3.179628794,3.511283053,1
3.147775991,4.084121073,1
3.263103798,4.837372462,1
3.645584141,3.893847304,1
3.074931541,3.557280802,1
2.657371927,3.608600614,1
2.682393935,4.369061244,1
3.309052996,3.922663849,1
2.481488246,4.103473413,1
3.194254422,4.477659412,1
2.494781829,4.397741499,1
3.262046965,4.148047141,1
3.168730902,3.839529816,1
3.950229623,3.872722963,1
2.805530193,3.836425369,1
3.236274959,4.119818309,1
3.175974045,4.026179446,1
2.375863293,3.888130782,1
3.339014047,3.875674847,1
2.735083909,4.154888492,1
2.836228836,4.781430845,1
3.558586779,4.366062547,1
3.480523029,3.490016405,1
3.298710913,3.77629811,1
3.117422675,3.949009602,1
2.614210736,4.310403018,1
2.822803766,4.0492019,1
2.912539753,3.773829112,1
3.118368775,4.399499622,1
2.763705974,4.24683778,1
2.989472483,4.202937857,1
3.28209351,3.903349287,1
3.574594721,4.885587453,1
3.005865692,3.85200962,1
3.650480858,4.245385615,1
1.678694433,5.088678779,1
2.723293323,3.435443921,1
2.721395902,3.453026001,1
2.616057024,4.635482626,1
3.219169042,4.564468476,1
2.696887878,3.89157438,1
3.201916572,4.095241775,1
2.769879021,3.8515425,1
2.876195035,4.014649788,1
3.432737011,3.891399185,1
3.151517231,3.481274904,1
